32
32
2
14
mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
mmmmmmmmmmmmmmmmmmbbbbbbbbbbbmmm
mmmmmmmmmmmmmmmmmmbbbbbbbbbbbmmm
mmmmmmmmmmmmmmmmmmbbbbbbbbbbbmmm
mmmmmmmmmmmmmmmmmmbbbbbbbbbbbmmm
mbbbbbbbbbbbmmmmmmbbbbbbbbbbbmmm
mbbbbbbbbbbbmmmmmmmbbbbbbbbbbmmm
mbbbbbbbbbbbbbbbbbbbbbbbbbbbbmmm
mbbbbbbbbbbbbbbbbbbbbbbbbbbbbmmm
mbbbbbbbbbbbbbbbbbbbbbbbbbbbbmmm
mbbbbbbbbbbbmmmmmmmbbbbbbbbbbmmm
mbbbbbbbbbbbmmmmmmmbbbbbbbbbbmmm
mbbmmmmmmmmmmmmmmmmbmmmmmmmmmmmm
mbbmmmmmmmmmmmmmmmmbmmmmmmmmmmmm
mmmmmmmmmmmmmmmmmmmbmmmmmmmmmmmm
mmmmmmmmmmmmmmmmmmmbmmmmmmmmmmmm
mbbbbbbbbbbbbbbmmmbbbbbbbbbbbbbm
mbbbbbbbbbbbbbbmmmbbbbbbbbbbbbbm
mbbbbbbbbbbbbbbmmmbbbbbbbbbbbbbm
mbbbbbbbbbbbbbmmmmmmmmbbbbbbbbbm
mbbbbbbbbbbbbbmmmmmmmmbbbbbbbbbm
mbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbm
mbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbm
mbbbbbbbbbbbbbbmmmmmbbbbbbbbbbbm
mbbbbbbbbbbbbbbmmmmmbbbbbbbbbbbm
mbbbbbbbbbbbbbbmmmmmbbbbbbbbbbbm
mbbbbbbbbbbbbbbmmmmmbbbbbbbbbbbm
mbbbbbbbbbbbbbbmmmmmbbbbbbbbbbbm
mbbbbbbbbbbbbbbmmmmmbbbbbbbbbbbm
mbbbbbbbbbbbbbbmmmmmmmmmmmmmmmmm
mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
pic
39,197,0
55,197,0
71,197,0
87,197,0
103,197,0
119,197,0
135,197,0
151,197,0
165,197,0
183,197,0
199,197,0
215,197,0
231,197,0
247,197,0
263,197,0
279,197,0
295,197,0
311,197,0
327,197,0
343,197,0
359,197,0
375,197,0
103,411,1
119,411,1
135,411,1
151,411,1
165,411,1
183,411,1
199,411,1
215,411,1
231,411,1
247,411,1
263,411,1
279,411,1
295,411,1
311,411,1
327,411,1
343,411,1
359,411,1
375,411,1
582,70,0
598,70,0
614,70,0
630,70,0
646,70,0
662,70,0
678,70,0
694,70,0
710,70,0
726,70,0
742,70,0
758,70,0
774,70,0
790,70,0
806,70,0
822,70,0
838,70,0
854,70,0
870,70,0
886,70,0
902,70,0
918,70,0
592,347,1
576,347,1
560,347,1
544,346,1
624,635,1
640,635,1
656,635,1
672,635,1
720,550,0
736,550,0
752,550,0
680,955,1
696,955,1
712,955,1
728,955,1
742,955,1
758,955,1
774,955,1
790,955,1
806,955,1
37,550,0
53,550,0
69,550,0
85,550,0
101,550,0
117,550,0
133,550,0
149,550,0
165,550,0
181,550,0
197,550,0
213,550,0
229,550,0
245,550,0
261,550,0
277,550,0
293,550,0
309,550,0
325,550,0
341,550,0
357,550,0
373,550,0
389,550,0
405,550,0
421,550,0
437,550,0
453,550,0
469,550,0
69,987,1
85,987,1
101,987,1
117,987,1
133,987,1
149,987,1
165,987,1
181,987,1
197,987,1
213,987,1
229,987,1
245,987,1
261,987,1
277,987,1
293,987,1
309,987,1
325,987,1
341,987,1
357,987,1
373,987,1
389,987,1
405,987,1
421,987,1
437,987,1
453,987,1
469,987,1
teleporteur
420,320,0
760,384,0
900,544,1
barreRebondissante
704,672,0
608,360,0
72,600,0
200,900,0
330,600,0
barreMouvante
264,248,0
576,96,0
end
